Data,Id_Marketing,Sessoes,Usuarios,Conversoes,Receita
2024-01-01,1,338,269,4,603.35
2024-01-01,2,290,251,4,605.56
2024-01-01,3,316,251,2,184.86
2024-01-01,4,314,239,2,535.24
2024-01-01,5,233,207,5,706.8299999999999
2024-01-01,6,85,68,2,122.99
2024-01-01,7,82,61,1,0.0
2024-01-02,1,289,238,3,274.7
2024-01-02,2,320,241,4,1417.8200000000002
2024-01-02,3,410,360,4,805.12
2024-01-02,4,343,284,3,401.76
2024-01-02,5,243,209,4,1040.69
2024-01-02,6,46,38,1,0.0
2024-01-02,7,98,79,1,0.0
2024-01-03,1,492,383,4,255.17000000000002
2024-01-03,2,268,206,3,269.26
2024-01-03,3,254,191,2,429.16
2024-01-03,4,360,274,2,319.25
2024-01-03,5,210,183,4,244.07
2024-01-03,6,74,67,2,156.64
2024-01-03,7,120,97,1,0.0
2024-01-04,1,745,602,8,1189.3200000000002
2024-01-04,2,491,409,8,1591.75
2024-01-04,3,491,412,4,1005.6
2024-01-04,4,285,231,2,336.04
2024-01-04,5,293,260,7,902.4
2024-01-04,6,104,88,2,691.36
2024-01-04,7,106,89,1,0.0
2024-01-05,1,512,386,6,1010.8900000000001
2024-01-05,2,433,370,7,665.1
2024-01-05,3,509,458,5,575.29
2024-01-05,4,334,260,2,230.38
2024-01-05,5,231,200,4,857.3900000000001
2024-01-05,6,97,79,3,783.96
2024-01-05,7,107,90,1,0.0
2024-01-06,1,663,523,8,1331.14
2024-01-06,2,670,559,10,2338.6
2024-01-06,3,634,532,6,775.45
2024-01-06,4,561,493,4,651.84
2024-01-06,5,420,325,9,1359.69
2024-01-06,6,162,126,4,736.13
2024-01-06,7,139,124,2,355.85
2024-01-07,1,793,600,9,1950.92
2024-01-07,2,389,331,5,1335.05
2024-01-07,3,692,628,6,617.55
2024-01-07,4,481,391,4,700.73
2024-01-07,5,364,310,9,1957.4099999999999
2024-01-07,6,160,135,5,1157.24
2024-01-07,7,125,108,1,0.0
2024-01-08,1,476,362,5,1149.49
2024-01-08,2,384,292,7,1118.54
2024-01-08,3,659,558,6,1019.99
2024-01-08,4,268,236,2,639.84
2024-01-08,5,335,289,7,1603.3000000000002
2024-01-08,6,116,94,3,248.44
2024-01-08,7,87,70,1,0.0
2024-01-09,1,581,494,5,1314.2
2024-01-09,2,301,262,5,422.51
2024-01-09,3,508,385,5,652.58
2024-01-09,4,365,304,3,367.47
2024-01-09,5,345,282,7,791.34
2024-01-09,6,136,123,3,192.14
2024-01-09,7,98,85,1,0.0
2024-01-10,1,499,383,5,482.25
2024-01-10,2,417,371,7,646.28
2024-01-10,3,413,308,3,523.8
2024-01-10,4,464,418,4,500.01
2024-01-10,5,249,195,6,1388.2199999999998
2024-01-10,6,172,153,4,1142.57
2024-01-10,7,111,95,1,0.0
2024-01-11,1,710,576,8,1418.0
2024-01-11,2,481,358,8,2113.45
2024-01-11,3,553,449,5,687.0
2024-01-11,4,367,307,3,923.0799999999999
2024-01-11,5,330,249,6,574.65
2024-01-11,6,173,131,5,1037.44
2024-01-11,7,105,94,1,0.0
2024-01-12,1,814,701,10,3713.81
2024-01-12,2,463,398,6,933.24
2024-01-12,3,695,608,6,813.9
2024-01-12,4,396,325,3,351.16
2024-01-12,5,298,226,7,1084.57
2024-01-12,6,172,149,4,511.34000000000003
2024-01-12,7,92,71,1,0.0
2024-01-13,1,771,664,8,1637.71
2024-01-13,2,482,398,9,1697.01
2024-01-13,3,624,511,6,762.51
2024-01-13,4,352,273,2,156.0
2024-01-13,5,399,326,8,1417.52
2024-01-13,6,150,130,4,656.82
2024-01-13,7,143,128,1,0.0
2024-01-14,1,893,707,11,1161.75
2024-01-14,2,543,495,10,1663.62
2024-01-14,3,619,496,6,890.28
2024-01-14,4,492,441,4,1065.32
2024-01-14,5,363,283,8,1441.96
2024-01-14,6,106,93,2,344.18
2024-01-14,7,126,95,1,0.0
2024-01-15,1,688,535,7,1111.24
2024-01-15,2,495,427,8,1839.12
2024-01-15,3,516,456,4,860.19
2024-01-15,4,369,311,3,650.98
2024-01-15,5,286,252,6,986.9200000000001
2024-01-15,6,72,54,1,0.0
2024-01-15,7,84,74,1,0.0
2024-01-16,1,713,598,9,1979.08
2024-01-16,2,452,370,8,777.39
2024-01-16,3,568,519,5,381.79999999999995
2024-01-16,4,358,327,3,542.88
2024-01-16,5,311,270,6,581.0799999999999
2024-01-16,6,129,115,3,245.15
2024-01-16,7,99,79,1,0.0
2024-01-17,1,781,625,8,1144.67
2024-01-17,2,517,415,7,1716.4699999999998
2024-01-17,3,469,352,4,733.5699999999999
2024-01-17,4,478,357,4,378.68
2024-01-17,5,317,242,8,1413.63
2024-01-17,6,137,106,3,225.34
2024-01-17,7,122,97,1,0.0
2024-01-18,1,591,516,6,868.04
2024-01-18,2,354,312,6,1131.4
2024-01-18,3,533,453,6,1057.41
2024-01-18,4,388,338,3,135.19
2024-01-18,5,377,301,8,1419.91
2024-01-18,6,145,123,4,517.1600000000001
2024-01-18,7,110,89,1,0.0
2024-01-19,1,888,706,9,2243.46
2024-01-19,2,544,443,8,1568.75
2024-01-19,3,684,614,7,1127.97
2024-01-19,4,430,353,4,605.36
2024-01-19,5,361,324,7,1151.0
2024-01-19,6,155,134,4,930.48
2024-01-19,7,84,64,0,0.0
2024-01-20,1,755,652,8,1824.13
2024-01-20,2,673,600,13,2005.6299999999999
2024-01-20,3,551,408,5,465.26
2024-01-20,4,514,401,4,869.4
2024-01-20,5,362,319,8,1508.18
2024-01-20,6,109,85,2,131.25
2024-01-20,7,132,107,2,0.0
2024-01-21,1,730,665,8,1120.68
2024-01-21,2,667,495,11,1404.52
2024-01-21,3,739,620,6,625.48
2024-01-21,4,491,411,4,720.49
2024-01-21,5,413,315,9,2853.84
2024-01-21,6,203,173,5,1312.28
2024-01-21,7,156,120,2,584.96
2024-01-22,1,543,428,6,1204.8899999999999
2024-01-22,2,324,239,6,1171.7
2024-01-22,3,631,573,6,356.17999999999995
2024-01-22,4,363,297,3,139.73
2024-01-22,5,226,169,4,1258.12
2024-01-22,6,125,100,3,252.62
2024-01-22,7,78,64,0,0.0
2024-01-23,1,518,437,6,1388.6399999999999
2024-01-23,2,552,454,9,1683.58
2024-01-23,3,477,383,4,492.62
2024-01-23,4,403,354,3,549.2900000000001
2024-01-23,5,340,271,8,1303.44
2024-01-23,6,127,109,3,237.03
2024-01-23,7,89,66,1,0.0
2024-01-24,1,592,486,6,640.89
2024-01-24,2,465,414,7,1282.13
2024-01-24,3,470,400,5,956.68
2024-01-24,4,396,351,3,386.33
2024-01-24,5,350,303,8,1020.32
2024-01-24,6,102,80,2,366.17
2024-01-24,7,83,66,1,0.0
2024-01-25,1,384,344,4,760.04
2024-01-25,2,461,363,9,738.22
2024-01-25,3,451,360,4,1358.85
2024-01-25,4,376,305,2,564.62
2024-01-25,5,160,142,3,411.03999999999996
2024-01-25,6,143,113,4,591.1
2024-01-25,7,106,87,1,0.0
2024-01-26,1,458,420,5,614.2
2024-01-26,2,442,389,7,1609.72
2024-01-26,3,623,548,6,1378.27
2024-01-26,4,283,255,2,356.7
2024-01-26,5,182,151,3,132.3
2024-01-26,6,113,95,2,490.04
2024-01-26,7,107,96,1,0.0
2024-01-27,1,592,494,6,1178.26
2024-01-27,2,411,350,6,1181.19
2024-01-27,3,504,443,5,447.88
2024-01-27,4,258,196,2,335.53
2024-01-27,5,371,337,8,1374.11
2024-01-27,6,132,114,4,644.95
2024-01-27,7,97,81,1,0.0
2024-01-28,1,773,630,7,874.8000000000001
2024-01-28,2,490,415,6,874.24
2024-01-28,3,345,261,2,614.44
2024-01-28,4,405,320,3,256.58
2024-01-28,5,270,202,5,462.84
2024-01-28,6,109,85,3,544.74
2024-01-28,7,65,52,1,0.0
2024-01-29,1,438,366,5,768.84
2024-01-29,2,343,267,5,1079.48
2024-01-29,3,259,231,2,389.86
2024-01-29,4,230,188,2,559.89
2024-01-29,5,196,174,4,253.24
2024-01-29,6,69,63,2,308.45
2024-01-29,7,81,63,0,0.0
2024-01-30,1,399,349,3,434.44
2024-01-30,2,390,340,5,1252.1399999999999
2024-01-30,3,252,215,2,1206.15
2024-01-30,4,243,213,1,0.0
2024-01-30,5,237,182,4,429.22
2024-01-30,6,122,106,2,488.16
2024-01-30,7,66,55,1,0.0
2024-01-31,1,377,317,5,578.22
2024-01-31,2,476,383,7,1059.17
2024-01-31,3,428,341,3,622.96
2024-01-31,4,337,293,3,281.46
2024-01-31,5,271,233,6,1020.31
2024-01-31,6,114,93,3,330.4
2024-01-31,7,47,37,0,0.0
2024-02-01,1,615,493,6,630.86
2024-02-01,2,417,354,5,985.6700000000001
2024-02-01,3,395,341,4,705.09
2024-02-01,4,293,244,2,754.05
2024-02-01,5,174,152,3,548.02
2024-02-01,6,101,79,2,261.54
2024-02-01,7,72,60,1,0.0
2024-02-02,1,586,512,6,802.94
2024-02-02,2,422,325,7,1663.04
2024-02-02,3,443,360,4,1498.96
2024-02-02,4,269,237,2,0.0
2024-02-02,5,257,193,5,920.88
2024-02-02,6,129,117,3,568.44
2024-02-02,7,69,62,1,0.0
2024-02-03,1,869,720,11,3069.8
2024-02-03,2,311,249,4,438.70000000000005
2024-02-03,3,516,460,6,983.38
2024-02-03,4,320,244,2,152.38
2024-02-03,5,363,296,7,1205.5900000000001
2024-02-03,6,123,112,3,924.4499999999999
2024-02-03,7,76,60,1,0.0
2024-02-04,1,678,619,6,1001.6
2024-02-04,2,366,277,6,1140.48
2024-02-04,3,525,434,5,939.91
2024-02-04,4,257,205,2,263.36
2024-02-04,5,216,195,4,921.96
2024-02-04,6,161,128,4,990.79
2024-02-04,7,106,93,1,0.0
2024-02-05,1,482,415,6,1727.7700000000002
2024-02-05,2,337,264,5,697.14
2024-02-05,3,303,255,3,256.98
2024-02-05,4,207,155,1,0.0
2024-02-05,5,211,190,5,1106.36
2024-02-05,6,74,57,1,0.0
2024-02-05,7,48,40,0,0.0
2024-02-06,1,573,469,5,440.86
2024-02-06,2,525,431,9,1159.8899999999999
2024-02-06,3,664,568,6,526.28
2024-02-06,4,427,328,3,348.34
2024-02-06,5,309,279,5,1220.08
2024-02-06,6,132,100,3,484.0
2024-02-06,7,86,76,1,0.0
2024-02-07,1,609,513,7,954.98
2024-02-07,2,483,374,7,764.74
2024-02-07,3,437,389,3,577.95
2024-02-07,4,394,345,3,939.81
2024-02-07,5,346,302,8,1925.44
2024-02-07,6,125,102,3,135.74
2024-02-07,7,72,59,0,0.0
2024-02-08,1,685,599,8,1499.92
2024-02-08,2,618,565,9,1301.48
2024-02-08,3,725,559,7,1804.71
2024-02-08,4,265,202,2,569.1
2024-02-08,5,335,262,7,1022.11
2024-02-08,6,135,123,3,153.65
2024-02-08,7,83,67,1,0.0
2024-02-09,1,648,593,7,1258.4299999999998
2024-02-09,2,463,372,7,989.12
2024-02-09,3,671,539,6,771.1
2024-02-09,4,383,302,3,255.83
2024-02-09,5,332,290,7,498.75
2024-02-09,6,141,113,4,795.03
2024-02-09,7,132,117,1,0.0
2024-02-10,1,569,424,5,817.66
2024-02-10,2,675,568,10,2241.23
2024-02-10,3,623,565,5,997.9399999999999
2024-02-10,4,329,253,2,346.36
2024-02-10,5,382,340,8,1978.4099999999999
2024-02-10,6,167,143,4,773.97
2024-02-10,7,100,82,1,0.0
2024-02-11,1,779,648,8,2050.02
2024-02-11,2,696,630,12,2159.19
2024-02-11,3,787,619,8,2084.3199999999997
2024-02-11,4,285,249,2,123.65
