Data,Id_Produto,Id_Marketing,Quantidade,Preco_Venda,Canal_Venda
2024-01-01,55,1,1,359.27,Site
2024-01-01,51,1,1,244.08,Site
2024-01-01,40,2,2,186.14,Site
2024-01-01,2,2,2,116.64,Site
2024-01-01,40,3,1,184.86,App
2024-01-01,27,4,2,267.62,Site
2024-01-01,42,5,1,420.0,Site
2024-01-01,56,5,1,286.83,Site
2024-01-01,23,6,1,122.99,Site
2024-01-02,17,1,1,274.7,Site
2024-01-02,7,2,2,325.11,Site
2024-01-02,4,2,2,383.8,Site
2024-01-02,28,3,2,219.62,App
2024-01-02,47,3,1,365.88,App
2024-01-02,23,4,3,133.92,Site
2024-01-02,32,5,3,284.11,Site
2024-01-02,34,5,1,188.36,Site
2024-01-03,11,1,1,136.16,Site
2024-01-03,23,1,1,119.01,Site
2024-01-03,12,2,1,269.26,Site
2024-01-03,28,3,2,214.58,App
2024-01-03,7,4,1,319.25,Site
2024-01-03,41,5,1,244.07,Site
2024-01-03,44,6,1,156.64,Site
2024-01-04,23,1,2,125.29,Site
2024-01-04,3,1,1,420.0,Site
2024-01-04,53,1,1,166.97,Site
2024-01-04,8,1,1,158.62,Site
2024-01-04,20,1,1,193.15,Site
2024-01-04,43,2,1,135.43,Site
2024-01-04,49,2,1,347.53,Site
2024-01-04,23,2,1,123.17,Site
2024-01-04,19,2,3,328.54,Site
2024-01-04,24,3,2,382.61,App
2024-01-04,1,3,2,120.19,App
2024-01-04,53,4,2,168.02,Site
2024-01-04,18,5,1,269.49,Site
2024-01-04,6,5,1,254.54,Site
2024-01-04,4,5,1,378.37,Site
2024-01-04,26,6,2,345.68,Site
2024-01-05,7,1,2,328.41,Site
2024-01-05,26,1,1,354.07,Site
2024-01-05,41,2,1,233.1,Site
2024-01-05,7,2,1,310.73,Site
2024-01-05,45,2,1,121.27,Site
2024-01-05,29,3,1,251.22,App
2024-01-05,15,3,1,324.07,App
2024-01-05,51,4,1,230.38,Site
2024-01-05,55,5,2,332.98,Site
2024-01-05,20,5,1,191.43,Site
